year,week,psi,rain,patient,result
2014.0,16.0,59.0,17.0,2367.0,2728.531494140625
2014.0,17.0,62.0,17.0,2588.0,2727.034423828125
2014.0,18.0,53.0,17.0,2601.0,2728.916748046875
2014.0,19.0,56.0,18.0,2522.0,2727.494384765625
2014.0,20.0,48.0,18.0,2630.0,2729.0966796875
2014.0,21.0,50.0,18.0,2754.0,2727.879150390625
2014.0,22.0,48.0,18.0,2649.0,2727.789306640625
2014.0,23.0,48.0,11.0,2512.0,2726.60986328125
2014.0,24.0,49.0,11.0,2448.0,2725.67578125
2014.0,25.0,54.0,11.0,2382.0,2723.61279296875
2014.0,26.0,53.0,11.0,2292.0,2723.239990234375
2014.0,27.0,55.0,15.0,2496.0,2722.309814453125
2014.0,28.0,52.0,15.0,2629.0,2722.50048828125
2014.0,29.0,52.0,15.0,2769.0,2721.842529296875
2014.0,30.0,55.0,15.0,2665.0,2720.334716796875
2014.0,31.0,50.0,15.0,2647.0,2721.09130859375
2014.0,32.0,39.0,20.0,2683.0,2723.914794921875
2014.0,33.0,54.0,20.0,2654.0,2718.993896484375
2014.0,34.0,56.0,20.0,2691.0,2717.761962890625
2014.0,35.0,58.0,20.0,2576.0,2716.528564453125
2014.0,36.0,59.0,9.0,2517.0,2714.819091796875
2014.0,37.0,71.0,9.0,2244.0,2710.754638671875
2014.0,38.0,70.0,9.0,2283.0,2710.374267578125
2014.0,39.0,69.0,9.0,2099.0,2709.99365234375
2014.0,40.0,73.0,10.0,1839.0,2708.257568359375
2014.0,41.0,74.0,10.0,2043.0,2707.306640625
2014.0,42.0,73.0,10.0,1947.0,2706.923828125
2014.0,43.0,68.0,10.0,2049.0,2707.67919921875
2014.0,44.0,74.0,10.0,2006.0,2705.30322265625
2014.0,45.0,58.0,23.0,2082.0,2710.05419921875
2014.0,46.0,41.0,23.0,2140.0,2714.251220703125
2014.0,47.0,48.0,23.0,2226.0,2711.575927734375
2014.0,48.0,47.0,23.0,2204.0,2711.190673828125
2014.0,49.0,50.0,23.0,2235.0,2709.658203125
2014.0,50.0,45.0,17.0,2315.0,2710.01708984375
2014.0,51.0,34.0,17.0,2177.0,2712.4921875
2014.0,52.0,37.0,17.0,2407.0,2710.963623046875
2015.0,1.0,46.0,6.0,2822.0,2740.800537109375
2015.0,2.0,38.0,6.0,2921.0,2742.381591796875
2015.0,3.0,54.0,6.0,3035.0,2737.304443359375
